date,time_local,soil_temp_surface_f,soil_temp_6cm_f,soil_temp_18cm_f,soil_temp_54cm_f,soil_moisture_0_1cm
2026-08-10,10:36,77.2,76.5,77.8,74.8,0.264
2026-08-11,10:49,77.8,77.6,79.6,75.2,0.349
2026-08-12,10:49,73.5,73.0,75.3,75.3,0.361
2026-08-13,10:49,77.3,73.4,72.3,74.0,0.304
2026-08-14,10:43,82.7,78.2,76.4,74.1,0.299
2026-08-15,10:11,85.0,78.0,77.1,74.6,0.275
2026-08-16,10:12,83.4,79.6,78.1,75.2,0.332
2026-08-17,10:16,77.2,77.7,78.4,75.7,0.369
2026-08-18,10:21,78.6,74.6,75.5,75.6,0.302
2026-08-19,10:21,79.9,73.4,74.6,75.4,0.295
2026-08-20,10:24,74.1,73.1,74.3,74.8,0.356
2026-08-21,10:22,78.0,73.3,73.9,74.6,0.295
2026-08-22,10:10,80.5,74.7,75.3,74.6,0.286
2026-08-23,10:12,74.8,70.1,73.5,74.5,0.284
2026-08-24,10:30,73.1,68.1,71.3,74.0,0.277
2026-08-25,10:33,75.5,67.6,70.3,73.5,0.275
2026-08-26,10:33,76.6,68.0,70.3,73.0,0.268
2026-08-31,10:10,82.5,76.1,75.0,73.4,0.243
2026-09-02,15:16,98.0,88.8,78.9,74.5,0.206
2026-09-02,15:33,98.0,88.8,78.9,74.5,0.206
